,DATE,variable,value
0,1980-05-01,DFII10,
1,1980-05-02,DFII10,
2,1980-05-05,DFII10,
3,1980-05-06,DFII10,
4,1980-05-07,DFII10,
5,1980-05-08,DFII10,
6,1980-05-09,DFII10,
7,1980-05-12,DFII10,
8,1980-05-13,DFII10,
9,1980-05-14,DFII10,
10,1980-05-15,DFII10,
11,1980-05-16,DFII10,
12,1980-05-19,DFII10,
13,1980-05-20,DFII10,
14,1980-05-21,DFII10,
15,1980-05-22,DFII10,
16,1980-05-23,DFII10,
17,1980-05-26,DFII10,
18,1980-05-27,DFII10,
19,1980-05-28,DFII10,
20,1980-05-29,DFII10,
21,1980-05-30,DFII10,
22,1980-06-02,DFII10,
23,1980-06-03,DFII10,
24,1980-06-04,DFII10,
25,1980-06-05,DFII10,
26,1980-06-06,DFII10,
27,1980-06-09,DFII10,
28,1980-06-10,DFII10,
29,1980-06-11,DFII10,
30,1980-06-12,DFII10,
31,1980-06-13,DFII10,
32,1980-06-16,DFII10,
33,1980-06-17,DFII10,
34,1980-06-18,DFII10,
35,1980-06-19,DFII10,
36,1980-06-20,DFII10,
37,1980-06-23,DFII10,
38,1980-06-24,DFII10,
39,1980-06-25,DFII10,
40,1980-06-26,DFII10,
41,1980-06-27,DFII10,
42,1980-06-30,DFII10,
43,1980-07-01,DFII10,
44,1980-07-02,DFII10,
45,1980-07-03,DFII10,
46,1980-07-04,DFII10,
47,1980-07-07,DFII10,
48,1980-07-08,DFII10,
49,1980-07-09,DFII10,
50,1980-07-10,DFII10,
51,1980-07-11,DFII10,
52,1980-07-14,DFII10,
53,1980-07-15,DFII10,
54,1980-07-16,DFII10,
55,1980-07-17,DFII10,
56,1980-07-18,DFII10,
57,1980-07-21,DFII10,
58,1980-07-22,DFII10,
59,1980-07-23,DFII10,
60,1980-07-24,DFII10,
61,1980-07-25,DFII10,
62,1980-07-28,DFII10,
63,1980-07-29,DFII10,
64,1980-07-30,DFII10,
65,1980-07-31,DFII10,
66,1980-08-01,DFII10,
67,1980-08-04,DFII10,
68,1980-08-05,DFII10,
69,1980-08-06,DFII10,
70,1980-08-07,DFII10,
71,1980-08-08,DFII10,
72,1980-08-11,DFII10,
73,1980-08-12,DFII10,
74,1980-08-13,DFII10,
75,1980-08-14,DFII10,
76,1980-08-15,DFII10,
77,1980-08-18,DFII10,
78,1980-08-19,DFII10,
79,1980-08-20,DFII10,
80,1980-08-21,DFII10,
81,1980-08-22,DFII10,
82,1980-08-25,DFII10,
83,1980-08-26,DFII10,
84,1980-08-27,DFII10,
85,1980-08-28,DFII10,
86,1980-08-29,DFII10,
87,1980-09-01,DFII10,
88,1980-09-02,DFII10,
89,1980-09-03,DFII10,
90,1980-09-04,DFII10,
91,1980-09-05,DFII10,
92,1980-09-08,DFII10,
93,1980-09-09,DFII10,
94,1980-09-10,DFII10,
95,1980-09-11,DFII10,
96,1980-09-12,DFII10,
97,1980-09-15,DFII10,
98,1980-09-16,DFII10,
99,1980-09-17,DFII10,
100,1980-09-18,DFII10,
101,1980-09-19,DFII10,
