,Dates,variable,value
0,1991-01-24,PCA1,0.8010537493574834
1,1991-01-25,PCA1,0.801180157886089
2,1991-01-28,PCA1,0.8018656210474383
3,1991-01-29,PCA1,0.7991513188541866
4,1991-01-30,PCA1,0.7981331797559363
5,1991-01-31,PCA1,0.7915381533392641
6,1991-02-01,PCA1,0.7905848116019636
7,1991-02-04,PCA1,0.7872144562113154
8,1991-02-05,PCA1,0.7804065469411134
9,1991-02-06,PCA1,0.7822692360139643
10,1991-02-07,PCA1,0.7767018485177694
11,1991-02-08,PCA1,0.7731624645509088
12,1991-02-11,PCA1,0.7781871064911848
13,1991-02-12,PCA1,0.7768035439754022
14,1991-02-13,PCA1,0.7752770588400184
15,1991-02-14,PCA1,0.7694281922811184
16,1991-02-15,PCA1,0.7638875972450403
17,1991-02-18,PCA1,0.7619039399501687
18,1991-02-19,PCA1,0.7619180229571076
19,1991-02-20,PCA1,0.7613461475747653
20,1991-02-21,PCA1,0.7577413869622023
21,1991-02-22,PCA1,0.748377687811215
22,1991-02-25,PCA1,0.754541442547565
23,1991-02-26,PCA1,0.7563162099871956
24,1991-02-27,PCA1,0.75638642004276
25,1991-02-28,PCA1,0.7616852818922462
26,1991-03-01,PCA1,0.7417454969177807
27,1991-03-04,PCA1,0.7329024824954786
28,1991-03-05,PCA1,0.732079674918244
29,1991-03-06,PCA1,0.732720832529805
30,1991-03-07,PCA1,0.7331798868530109
31,1991-03-08,PCA1,0.732474254774703
32,1991-03-11,PCA1,0.7282987557387316
33,1991-03-12,PCA1,0.7275781721695425
34,1991-03-13,PCA1,0.7235096413092552
35,1991-03-14,PCA1,0.7244345580139702
36,1991-03-15,PCA1,0.7160820374744661
37,1991-03-18,PCA1,0.7149192427985956
38,1991-03-19,PCA1,0.7123599829404551
39,1991-03-20,PCA1,0.7130064981846692
40,1991-03-21,PCA1,0.7104544606552147
41,1991-03-22,PCA1,0.7118715579336246
42,1991-03-25,PCA1,0.7112858843723563
43,1991-03-26,PCA1,0.7118411691161658
44,1991-03-27,PCA1,0.7035326751736508
45,1991-03-28,PCA1,0.7064633997565196
46,1991-03-29,PCA1,0.7092184545857768
47,1991-04-01,PCA1,0.7112574463078198
48,1991-04-02,PCA1,0.7003737810788793
49,1991-04-03,PCA1,0.6965679484985233
50,1991-04-04,PCA1,0.6992472279513285
51,1991-04-05,PCA1,0.702555353271572
52,1991-04-08,PCA1,0.7081567653502728
