,index,params,ticker,min_year,max_year
0,const,0.001934583928773234,TSLA,2010-06-30,2020-09-30
1,Mkt-RF,1.0919320304112794,TSLA,2010-06-30,2020-09-30
2,SMB,-0.4050042649582021,TSLA,2010-06-30,2020-09-30
3,HML,-0.6497338057126301,TSLA,2010-06-30,2020-09-30
4,RMW,-0.8795823716731751,TSLA,2010-06-30,2020-09-30
5,CMA,-1.8426459093943348,TSLA,2010-06-30,2020-09-30
6,WML,0.5307255216166443,TSLA,2010-06-30,2020-09-30
7,QMJ,-1.2590524488499621,TSLA,2010-06-30,2020-09-30
8,BAB,-0.08531119739893535,TSLA,2010-06-30,2020-09-30
0,const,0.0007914554276309494,MSFT,1990-11-01,2020-09-30
1,Mkt-RF,0.948369845693848,MSFT,1990-11-01,2020-09-30
2,SMB,-0.7034794246420688,MSFT,1990-11-01,2020-09-30
3,HML,-0.7624760149207398,MSFT,1990-11-01,2020-09-30
4,RMW,-0.3021821345430379,MSFT,1990-11-01,2020-09-30
5,CMA,-0.7269190837206513,MSFT,1990-11-01,2020-09-30
6,WML,0.039420425122385666,MSFT,1990-11-01,2020-09-30
7,QMJ,0.8793064953598048,MSFT,1990-11-01,2020-09-30
8,BAB,-0.3189173528167132,MSFT,1990-11-01,2020-09-30
0,const,0.0012461293412270875,AAPL,1990-11-01,2020-09-30
1,Mkt-RF,0.8844359019213802,AAPL,1990-11-01,2020-09-30
2,SMB,-0.36871921551138803,AAPL,1990-11-01,2020-09-30
3,HML,-0.7368870110013155,AAPL,1990-11-01,2020-09-30
4,RMW,-0.9299663227778159,AAPL,1990-11-01,2020-09-30
5,CMA,-1.11975825924429,AAPL,1990-11-01,2020-09-30
6,WML,0.12690115864450913,AAPL,1990-11-01,2020-09-30
7,QMJ,0.9160039715114673,AAPL,1990-11-01,2020-09-30
8,BAB,-0.56829859801808,AAPL,1990-11-01,2020-09-30
0,const,0.0007741540013269176,TTEK,1991-12-18,2020-09-30
1,Mkt-RF,1.2629180023679234,TTEK,1991-12-18,2020-09-30
2,SMB,0.2621967171631649,TTEK,1991-12-18,2020-09-30
3,HML,-0.3298635503479772,TTEK,1991-12-18,2020-09-30
4,RMW,-0.7815121243621328,TTEK,1991-12-18,2020-09-30
5,CMA,0.14720422471034092,TTEK,1991-12-18,2020-09-30
6,WML,-0.12110951134636869,TTEK,1991-12-18,2020-09-30
7,QMJ,0.7937879581356715,TTEK,1991-12-18,2020-09-30
8,BAB,-0.4083863946071907,TTEK,1991-12-18,2020-09-30
0,const,0.0007745758629728257,BLK,1999-10-04,2020-09-30
1,Mkt-RF,1.2082904665161291,BLK,1999-10-04,2020-09-30
2,SMB,-0.25832142219446075,BLK,1999-10-04,2020-09-30
3,HML,0.4015900083682902,BLK,1999-10-04,2020-09-30
4,RMW,-0.4533385420580557,BLK,1999-10-04,2020-09-30
5,CMA,0.24012549786831391,BLK,1999-10-04,2020-09-30
6,WML,0.0788371740922996,BLK,1999-10-04,2020-09-30
7,QMJ,0.4967845452002343,BLK,1999-10-04,2020-09-30
8,BAB,-0.4062819128314875,BLK,1999-10-04,2020-09-30
0,const,0.0006622373378216063,C,1990-11-01,2020-09-30
1,Mkt-RF,1.0366235048816057,C,1990-11-01,2020-09-30
2,SMB,-1.391941055055325,C,1990-11-01,2020-09-30
3,HML,1.2636983776638104,C,1990-11-01,2020-09-30
4,RMW,-0.14642849221505058,C,1990-11-01,2020-09-30
5,CMA,-0.9567843219742624,C,1990-11-01,2020-09-30
6,WML,-0.33655103582952745,C,1990-11-01,2020-09-30
7,QMJ,-1.2793230861215916,C,1990-11-01,2020-09-30
8,BAB,-0.179370911318626,C,1990-11-01,2020-09-30
0,const,1.5683168984912677e-05,KO,1990-11-01,2020-09-30
1,Mkt-RF,0.7904355664353433,KO,1990-11-01,2020-09-30
2,SMB,-0.4155498955408632,KO,1990-11-01,2020-09-30
3,HML,-0.33297152471402824,KO,1990-11-01,2020-09-30
4,RMW,0.7897301525340894,KO,1990-11-01,2020-09-30
5,CMA,0.8630729166634847,KO,1990-11-01,2020-09-30
6,WML,-0.19461410799045745,KO,1990-11-01,2020-09-30
7,QMJ,0.4734540688450421,KO,1990-11-01,2020-09-30
8,BAB,0.15944380517842285,KO,1990-11-01,2020-09-30
0,const,3.8135698238422654e-05,GM,2010-11-19,2020-09-30
1,Mkt-RF,1.3297127179876298,GM,2010-11-19,2020-09-30
2,SMB,-0.12324832303623637,GM,2010-11-19,2020-09-30
3,HML,1.064246429501902,GM,2010-11-19,2020-09-30
4,RMW,-0.016168538771762178,GM,2010-11-19,2020-09-30
5,CMA,-0.8987542224042934,GM,2010-11-19,2020-09-30
6,WML,-0.1162491794886469,GM,2010-11-19,2020-09-30
7,QMJ,0.45723526598495945,GM,2010-11-19,2020-09-30
8,BAB,-0.3734838118491014,GM,2010-11-19,2020-09-30
